FormNO,District,Age,Gender,Income,Education,Sevice_evaluation
164,Chitwan,46,Male,13000,SLC/SEE,Ok
165,Chitwan,17,Female,13300,Masters and above,Ok
166,Chitwan,46,Female,11500,Below SLC/SEE,Ok
167,Chitwan,36,Female,11500,Masters and above,Ok
168,Chitwan,27,Female,10400,Masters and above,Ok
169,Chitwan,17,Male,14200,Inter/+2,Ok
170,Chitwan,32,Male,11700,SLC/SEE,Ok
171,Chitwan,35,Female,14600,Below SLC/SEE,Ok
172,Chitwan,42,Male,10300,SLC/SEE,Ok
173,Chitwan,37,Female,11300,Below SLC/SEE,Bad
174,Chitwan,40,Male,11700,Below SLC/SEE,Ok
175,Chitwan,56,Male,10100,SLC/SEE,Ok
176,Chitwan,35,Female,14600,SLC/SEE,Ok
177,Chitwan,39,Male,12600,SLC/SEE,Ok
178,Chitwan,16,Female,13200,Inter/+2,Ok
179,Chitwan,46,Male,14200,SLC/SEE,Bad
180,Chitwan,45,Male,13700,Inter/+2,Ok
181,Chitwan,25,Male,13600,SLC/SEE,Ok
182,Chitwan,60,Male,4000,Below SLC/SEE,Ok
183,Chitwan,60,Female,3600,Below SLC/SEE,Ok
184,Chitwan,25,Male,14500,Inter/+2,Ok
185,Chitwan,50,Male,14600,Below SLC/SEE,Ok
186,Chitwan,19,Female,13300,SLC/SEE,Bad
187,Chitwan,50,Male,12200,SLC/SEE,Ok
188,Chitwan,45,Female,11500,SLC/SEE,Ok
189,Chitwan,59,Male,10700,SLC/SEE,Ok
190,Chitwan,47,Male,11700,Bachelor,Ok
191,Chitwan,17,Female,14800,SLC/SEE,Ok
192,Chitwan,21,Female,12300,SLC/SEE,Ok
193,Chitwan,36,Male,10100,SLC/SEE,Ok
194,Chitwan,36,Female,14600,SLC/SEE,Ok
195,Chitwan,51,Male,13300,SLC/SEE,Ok
196,Chitwan,49,Female,13100,SLC/SEE,Ok
197,Chitwan,51,Male,10900,SLC/SEE,Ok
198,Chitwan,36,Female,12000,SLC/SEE,Ok
199,Chitwan,65,Male,3300,Below SLC/SEE,Ok
200,Chitwan,66,Male,5800,Below SLC/SEE,Ok
201,Chitwan,60,Male,6800,SLC/SEE,Ok
202,Chitwan,45,Male,13200,Below SLC/SEE,Ok
203,Chitwan,60,Female,4200,Below SLC/SEE,Ok
204,Chitwan,46,Male,13800,SLC/SEE,Ok
205,Chitwan,24,Female,11200,SLC/SEE,Ok
206,Chitwan,42,Male,14500,Inter/+2,Ok
207,Chitwan,50,Male,10300,Below SLC/SEE,Ok
208,Chitwan,57,Male,10600,Below SLC/SEE,Ok
209,Chitwan,40,Male,14800,SLC/SEE,Ok
210,Chitwan,25,Female,12900,Inter/+2,Ok
211,Chitwan,52,Male,12600,Below SLC/SEE,Ok
212,Chitwan,56,Male,14900,SLC/SEE,Ok
213,Chitwan,59,Male,14500,SLC/SEE,Bad
214,Chitwan,33,Female,10200,Below SLC/SEE,Ok
215,Chitwan,30,Female,11100,SLC/SEE,Ok
216,Chitwan,51,Female,13700,SLC/SEE,Ok
217,Chitwan,63,Male,4000,SLC/SEE,Bad
218,Chitwan,45,Female,10900,Below SLC/SEE,Ok
219,Chitwan,53,Male,13300,SLC/SEE,Ok
220,Chitwan,47,Male,12300,SLC/SEE,Ok
221,Chitwan,36,Female,14100,SLC/SEE,Ok
222,Chitwan,32,Female,12800,SLC/SEE,Ok
223,Chitwan,29,Female,13800,SLC/SEE,Ok
224,Chitwan,23,Female,12800,Bachelor,Ok
225,Chitwan,61,Male,6300,SLC/SEE,Bad
226,Chitwan,45,Female,14100,SLC/SEE,Ok
227,Chitwan,27,Female,14800,Inter/+2,Ok
228,Chitwan,25,Female,14900,Inter/+2,Ok
229,Chitwan,28,Male,11500,Inter/+2,Ok
230,Chitwan,55,Male,13100,SLC/SEE,Ok
231,Chitwan,45,Male,12100,SLC/SEE,Ok
232,Chitwan,57,Male,11300,Below SLC/SEE,Ok
233,Chitwan,26,Male,10800,Inter/+2,Ok
234,Chitwan,45,Male,14800,Below SLC/SEE,Ok
235,Chitwan,51,Male,14600,Below SLC/SEE,Ok
236,Chitwan,25,Female,12600,Masters and above,Bad
237,Chitwan,43,Female,11000,Below SLC/SEE,Ok
238,Chitwan,46,Male,12400,SLC/SEE,Ok
239,Chitwan,33,Female,12500,SLC/SEE,Ok
240,Chitwan,27,Male,12100,Masters and above,Ok
241,Chitwan,30,Female,14500,SLC/SEE,Ok
242,Chitwan,45,Male,11800,SLC/SEE,Ok
243,Chitwan,48,Male,10000,SLC/SEE,Good
244,Chitwan,25,Male,10400,SLC/SEE,Good
245,Chitwan,26,Female,11300,Inter/+2,Very Bad
246,Chitwan,25,Female,11700,SLC/SEE,Ok
247,Chitwan,80,Male,6200,SLC/SEE,Ok
248,Chitwan,45,Male,12500,SLC/SEE,Ok
249,Chitwan,42,Male,12000,Masters and above,Good
250,Chitwan,45,Male,14300,Inter/+2,Ok
251,Chitwan,35,Male,12100,SLC/SEE,Ok
252,Chitwan,27,Female,13800,Bachelor,Bad
253,Chitwan,55,Male,10800,SLC/SEE,Ok
254,Chitwan,31,Female,15000,SLC/SEE,Good
255,Chitwan,48,Female,13900,SLC/SEE,Ok
256,Chitwan,48,Male,13000,SLC/SEE,Ok
257,Chitwan,43,Male,12100,SLC/SEE,Good
258,Chitwan,46,Male,11300,SLC/SEE,Ok
259,Chitwan,42,Male,10900,Inter/+2,Good
260,Chitwan,50,Male,14400,SLC/SEE,Ok
261,Chitwan,68,Male,3800,SLC/SEE,Good
262,Chitwan,26,Male,14900,Inter/+2,Bad
263,Chitwan,54,Male,13700,SLC/SEE,Good
264,Chitwan,54,Male,13400,SLC/SEE,Bad
265,Chitwan,28,Male,13500,Bachelor,Good
266,Chitwan,53,Male,11200,SLC/SEE,Ok
267,Chitwan,44,Male,10800,SLC/SEE,Good
268,Chitwan,63,Male,6500,SLC/SEE,Good
269,Chitwan,45,Male,14000,Inter/+2,Ok
270,Chitwan,38,Male,12500,SLC/SEE,Ok
271,Chitwan,49,Male,14600,Bachelor,Ok
272,Chitwan,50,Male,14800,Below SLC/SEE,Good
273,Chitwan,48,Male,10400,Bachelor,Ok
274,Chitwan,60,Male,6200,SLC/SEE,Ok
275,Chitwan,20,Female,13000,Bachelor,Ok
276,Chitwan,27,Female,14700,SLC/SEE,Bad
277,Chitwan,36,Male,14400,Bachelor,Ok
278,Chitwan,36,Male,11700,SLC/SEE,Ok
279,Chitwan,62,Male,5700,SLC/SEE,Ok
280,Chitwan,48,Male,10500,SLC/SEE,Bad
281,Chitwan,42,Male,10700,SLC/SEE,Ok
282,Chitwan,47,Male,12500,SLC/SEE,Ok
283,Chitwan,25,Female,11500,Bachelor,Ok
284,Chitwan,18,Female,13100,SLC/SEE,Ok
285,Chitwan, ,Male,14800,SLC/SEE,Ok
286,Chitwan,28,Male,12100,Inter/+2,Ok
287,Chitwan,48,Male,12700,SLC/SEE,Bad
288,Chitwan,52,Male,10600,SLC/SEE,Ok
289,Chitwan,38,Female,13600,SLC/SEE,Good
290,Chitwan,50,Male,10900,Below SLC/SEE,Ok
291,Chitwan,46,Female,14300,SLC/SEE,Ok
292,Chitwan,35,Male,13700,Inter/+2,Ok
293,Chitwan,58,Male,11600,Below SLC/SEE,Ok
