lastproduct,reason,Age,Gender,Maritalstatus,Education,Income,Attitude_score (1-100)
others,other,18-25,female,single,graduate,below 2lakhs,39
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,57
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,10
Electronics and mobile,Personal use,18-25,male,single,graduate,2-5 lakhs,45
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,13
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,51
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,57
Fashion Apparel,Gifting others,18-25,female,single,graduate,below 2lakhs,6
Fashion Apparel,Personal use,18-25,male,single,graduate,above 5 lakhs,31
Fashion Apparel,Family use,18-25,male,single,graduate,below 2lakhs,33
others,Personal use,18-25,male,single,graduate,below 2lakhs,40
Fashion Apparel,Personal use,25-30,female,married,post-graduate,below 2lakhs,75
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,78
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,75
others,other,25-30,female,single,post-graduate,below 2lakhs,14
Fashion Apparel,Family use,30-35,male,married,graduate,below 2lakhs,100
Electronics and mobile,Personal use,18-25,female,single,graduate,2-5 lakhs,91
Electronics and mobile,Family use,18-25,male,single,graduate,above 5 lakhs,38
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,23
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,92
others,Family use,18-25,female,single,post-graduate,below 2lakhs,20
others,Personal use,25-30,female,single,post-graduate,2-5 lakhs,58
Electronics and mobile,Family use,30-35,female,married,post-graduate,2-5 lakhs,10
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,81
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,18
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,34
others,Personal use,30-35,male,single,post-graduate,above 5 lakhs,8
Fashion Apparel,Personal use,30-35,female,single,graduate,below 2lakhs,60
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,19
others,Personal use,25-30,female,single,post-graduate,below 2lakhs,57
Fashion Apparel,Family use,18-25,male,single,graduate,below 2lakhs,74
Electronics and mobile,Family use,18-25,male,single,graduate,below 2lakhs,86
Fashion Apparel,Gifting others,25-30,male,single,graduate,2-5 lakhs,52
Electronics and mobile,Family use,18-25,male,single,graduate,above 5 lakhs,37
Electronics and mobile,Personal use,18-25,male,single,graduate,above 5 lakhs,65
Fashion Apparel,Personal use,18-25,male,single,post-graduate,above 5 lakhs,11
others,Personal use,18-25,male,single,graduate,below 2lakhs,69
Electronics and mobile,Family use,18-25,male,single,graduate,below 2lakhs,39
Fashion Apparel,Personal use,25-30,male,married,post-graduate,below 2lakhs,80
others,Personal use,25-30,male,single,graduate,below 2lakhs,16
Electronics and mobile,Family use,18-25,male,single,graduate,below 2lakhs,91
others,other,18-25,male,single,graduate,above 5 lakhs,60
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,63
Electronics and mobile,Personal use,18-25,male,single,graduate,above 5 lakhs,21
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,100
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,5
Fashion Apparel,Personal use,18-25,female,single,doctoral,2-5 lakhs,36
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,38
Fashion Apparel,Personal use,25-30,female,married,doctoral,below 2lakhs,25
others,Personal use,18-25,female,single,post-graduate,below 2lakhs,63
Fashion Apparel,Personal use,30-35,female,married,post-graduate,above 5 lakhs,89
others,Personal use,18-25,male,single,graduate,below 2lakhs,25
Fashion Apparel,Personal use,25-30,female,single,doctoral,below 2lakhs,78
others,Personal use,18-25,male,single,post-graduate,below 2lakhs,20
Electronics and mobile,Personal use,18-25,male,single,graduate,2-5 lakhs,12
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,91
others,Family use,18-25,female,single,graduate,below 2lakhs,41
Electronics and mobile,Family use,30-35,male,married,doctoral,above 5 lakhs,36
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,56
Fashion Apparel,Personal use,25-30,male,single,post-graduate,2-5 lakhs,55
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,47
others,Personal use,25-30,female,single,post-graduate,below 2lakhs,34
Electronics and mobile,Personal use,25-30,male,single,post-graduate,below 2lakhs,59
Electronics and mobile,Personal use,30-35,male,married,post-graduate,above 5 lakhs,75
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,58
others,Family use,18-25,male,single,post-graduate,below 2lakhs,86
Electronics and mobile,Personal use,18-25,female,single,post-graduate,below 2lakhs,45
Fashion Apparel,Family use,18-25,female,single,post-graduate,2-5 lakhs,23
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,95
others,Personal use,18-25,female,single,graduate,above 5 lakhs,61
others,Gifting others,25-30,female,single,post-graduate,below 2lakhs,2
others,Personal use,18-25,female,single,graduate,below 2lakhs,83
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,52
others,Personal use,18-25,female,single,graduate,below 2lakhs,72
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,22
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,85
others,Gifting others,18-25,male,single,post-graduate,below 2lakhs,40
Electronics and mobile,Personal use,18-25,female,married,graduate,below 2lakhs,98
Electronics and mobile,Personal use,25-30,female,married,graduate,below 2lakhs,52
Electronics and mobile,Personal use,18-25,female,single,post-graduate,below 2lakhs,57
others,Family use,18-25,female,single,graduate,below 2lakhs,94
others,Personal use,18-25,female,single,post-graduate,2-5 lakhs,48
Electronics and mobile,Family use,18-25,female,single,post-graduate,below 2lakhs,17
others,Personal use,25-30,female,married,post-graduate,below 2lakhs,91
others,Personal use,25-30,female,single,post-graduate,below 2lakhs,99
others,Personal use,18-25,female,single,graduate,below 2lakhs,87
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,33
others,Personal use,18-25,male,single,graduate,2-5 lakhs,23
others,other,18-25,female,single,graduate,below 2lakhs,59
Fashion Apparel,Gifting others,18-25,female,single,graduate,below 2lakhs,31
others,Personal use,18-25,female,single,graduate,below 2lakhs,41
Fashion Apparel,other,18-25,female,single,graduate,below 2lakhs,35
others,Family use,18-25,female,single,graduate,2-5 lakhs,3
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,21
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,1
others,Family use,25-30,female,single,post-graduate,2-5 lakhs,40
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,64
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,50
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,100
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,71
Electronics and mobile,Family use,18-25,female,single,graduate,below 2lakhs,7
others,Personal use,25-30,female,single,post-graduate,2-5 lakhs,74
Fashion Apparel,Personal use,25-30,female,married,post-graduate,below 2lakhs,51
others,Personal use,25-30,female,single,graduate,below 2lakhs,2
others,Personal use,18-25,female,single,graduate,below 2lakhs,82
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,3
others,Family use,18-25,female,single,graduate,below 2lakhs,96
Fashion Apparel,Gifting others,25-30,female,single,graduate,below 2lakhs,22
Electronics and mobile,Family use,18-25,female,single,graduate,below 2lakhs,41
Fashion Apparel,Family use,18-25,female,single,graduate,2-5 lakhs,50
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,12
Fashion Apparel,other,25-30,female,married,graduate,below 2lakhs,29
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,54
Electronics and mobile,Gifting others,18-25,female,married,post-graduate,below 2lakhs,99
others,Gifting others,25-30,male,single,post-graduate,below 2lakhs,76
others,Personal use,18-25,female,single,post-graduate,below 2lakhs,40
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,12
Fashion Apparel,Personal use,25-30,female,single,post-graduate,above 5 lakhs,34
Fashion Apparel,Gifting others,18-25,female,single,graduate,below 2lakhs,21
others,Personal use,25-30,female,single,post-graduate,below 2lakhs,49
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,75
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,65
Fashion Apparel,Personal use,18-25,female,single,graduate,2-5 lakhs,59
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,14
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,80
others,Family use,18-25,female,single,graduate,below 2lakhs,41
others,Family use,18-25,female,single,post-graduate,below 2lakhs,40
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,37
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,25
Fashion Apparel,Personal use,18-25,female,married,graduate,below 2lakhs,80
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,35
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,18
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,14
others,Gifting others,18-25,female,single,graduate,below 2lakhs,8
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,6
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,4
Electronics and mobile,Family use,18-25,female,single,graduate,below 2lakhs,92
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,65
others,Family use,18-25,female,single,graduate,below 2lakhs,71
Fashion Apparel,Family use,18-25,female,single,graduate,below 2lakhs,72
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,12
others,other,18-25,female,single,graduate,below 2lakhs,2
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,17
Electronics and mobile,Personal use,25-30,female,single,post-graduate,below 2lakhs,35
others,Gifting others,18-25,female,single,graduate,below 2lakhs,43
others,Personal use,18-25,female,single,graduate,below 2lakhs,17
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,99
Electronics and mobile,Personal use,25-30,female,single,post-graduate,2-5 lakhs,13
Electronics and mobile,Family use,18-25,male,single,post-graduate,below 2lakhs,4
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,91
Fashion Apparel,Gifting others,18-25,female,single,graduate,below 2lakhs,79
others,Family use,18-25,female,single,graduate,below 2lakhs,21
Electronics and mobile,Personal use,25-30,female,married,post-graduate,below 2lakhs,30
others,Personal use,18-25,female,single,graduate,below 2lakhs,99
others,Personal use,25-30,male,single,post-graduate,below 2lakhs,17
Electronics and mobile,Personal use,18-25,female,single,post-graduate,below 2lakhs,62
others,Personal use,18-25,female,single,graduate,below 2lakhs,90
others,Family use,18-25,female,married,graduate,below 2lakhs,67
others,Personal use,18-25,female,single,graduate,below 2lakhs,30
Electronics and mobile,Family use,18-25,female,single,graduate,below 2lakhs,68
Electronics and mobile,Family use,18-25,female,single,graduate,below 2lakhs,90
Electronics and mobile,Personal use,18-25,female,single,post-graduate,below 2lakhs,62
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,21
others,Personal use,18-25,female,single,post-graduate,below 2lakhs,75
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,25
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,10
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,38
others,Personal use,25-30,female,married,post-graduate,below 2lakhs,68
others,Family use,25-30,female,single,post-graduate,below 2lakhs,73
others,Family use,18-25,female,single,graduate,below 2lakhs,44
others,Personal use,18-25,female,single,graduate,below 2lakhs,60
Electronics and mobile,Family use,18-25,female,single,graduate,below 2lakhs,26
others,Family use,18-25,female,single,post-graduate,below 2lakhs,86
Fashion Apparel,Personal use,18-25,female,single,graduate,2-5 lakhs,69
others,Personal use,18-25,female,single,graduate,below 2lakhs,67
others,Personal use,18-25,female,single,post-graduate,2-5 lakhs,2
others,Family use,18-25,female,single,post-graduate,below 2lakhs,99
others,Personal use,18-25,female,single,post-graduate,below 2lakhs,23
Fashion Apparel,Personal use,18-25,female,single,post-graduate,above 5 lakhs,36
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,50
others,Family use,18-25,female,single,graduate,below 2lakhs,15
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,25
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,87
others,Family use,18-25,female,single,graduate,below 2lakhs,66
Electronics and mobile,Family use,25-30,female,married,post-graduate,below 2lakhs,44
Fashion Apparel,Personal use,25-30,female,married,post-graduate,above 5 lakhs,50
Electronics and mobile,Family use,30-35,female,married,post-graduate,below 2lakhs,92
others,Family use,18-25,female,single,graduate,below 2lakhs,7
others,Family use,30-35,male,married,post-graduate,below 2lakhs,7
others,other,30-35,male,married,post-graduate,below 2lakhs,60
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,22
Fashion Apparel,Gifting others,18-25,female,single,post-graduate,below 2lakhs,52
Fashion Apparel,Personal use,18-25,female,single,post-graduate,2-5 lakhs,48
others,other,18-25,female,single,graduate,below 2lakhs,51
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,17
others,Personal use,18-25,female,single,graduate,below 2lakhs,58
Fashion Apparel,Personal use,25-30,female,single,graduate,2-5 lakhs,88
others,Personal use,18-25,female,single,post-graduate,below 2lakhs,79
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,85
